name,category,description,ingredients,diet_tags,allergens,sweet,sour,bitter,spicy,dry
Hard-Cooked Egg,Omelet/Quiche/Frittata/Strata,"Perfectly hard-cooked egg, featuring a firm yet tender white and a rich, creamy yolk","Water, Egg",,,2.7,3.1,3.7,4.2,3.6
Scrambled Just® Egg,Omelet/Quiche/Frittata/Strata,Scrambled Just® egg seasoned with salt & pepper,"Plant Based Egg (Water, Mung Bean Protein, Expeller-Pressed Canola Oil, Contains less than 2% of Dehydrated Onion, Gellan Gum, Carrot Extractives (color), Turmeric Extractives (color), Potassium Citrate, Salt, Sugar, Tapioca Syrup Solids, Tetrasodium Pyrophosphate, Transglutaminase, Nisin (preservative).), Canola Oil, Kosher Salt, Black Pepper",,,3.6,4.7,0.2,3.5,5.0
Scrambled Eggs,Omelet/Quiche/Frittata/Strata,Eggs gently scrambled to fluffy perfection,"Egg Blend (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).)",,,3.0,3.4,1.4,1.5,0.7
"Sausage, Egg & Cheese Croissant",Breakfast,"Pork sausage patty, fried egg and American cheese on a flaky croissant","Croissant, Egg, Sausage Patty, American Cheese, Vegetable Oil Blend",,,2.7,1.8,0.6,4.1,4.3
Turkey Sausage Patty,Breakfast Meat,Sizzling hot golden brown turkey sausage patty,"Turkey Sausage (Turkey, Water, Contains 2% or Less of Salt, Spices, Sugar, BHA, BHT, Citric Acid.)",,,2.1,2.2,1.5,2.0,0.8
Pork Sausage Links,Breakfast Meat,Golden brown savory pork sausage link,"Sausage (Pork, Pork Broth, Contains 2% or Less of: Salt, Dextrose, Flavorings, BHT, Citric Acid, Propyl Gallate, Packed in Beef Collagen Casing.)",,,3.2,3.5,0.6,4.4,3.1
Hash Brown Potatoes,Potato,Pan-fried seasoned diced potatoes,"Potatoes, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Kosher Salt, Black Pepper",,,2.2,0.3,1.6,2.9,0.6
O'Brien Potatoes,Potato,Pan-fried seasoned diced potatoes and sautéed green and red peppers and onions,"Potatoes, Canola Oil, Green Bell Pepper, Onion, Red Bell Pepper, Kosher Salt, Black Pepper",,,4.5,3.3,2.1,4.4,4.2
Pancake,Pancakes/Waffles/French Toast,"Pancake using oat milk, rice flour and egg replacer","Oat Milk (Oat base (water, oats), low erucic acid rapeseed oil. Contains 2% or less of: dipotassium phosphate, calcium carbonate, tricalcium phosphate, sea salt, dicalcium phosphate, riboflavin, vitamin A acetate, vitamin D2, vitamin B12), Rice Flour (Sweet White Rice Flour, Whole Grain Brown Rice Flour, Potato Starch, Whole Grain Sweet White Sorghum Flour, Tapioca Flour, Xanthan Gum.), Egg Substitute (Potato Starch, Tapioca Flour, Baking Soda, Psyllium Husk Powder), Baking Powder, Granulated Sugar, Baking Soda, Pure Vanilla Extract, Kosher Salt",,,4.8,3.4,0.3,3.5,4.0
Buttermilk Pancakes,Pancakes/Waffles/French Toast,"Fluffy, golden brown buttermilk pancakes","Water, Pancake Mix  (ENRICHED BLEACHED FLOUR (BLEACHED WHEAT FLOUR, NIACINAMIDE, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, LEAVENING (BAKING SODA, SODIUM ALUMINUM PHOSPHATE, MONOCALCIUM PHOSPHATE), DEXTROSE, BUTTERMILK POWDER, PALM OIL, SALT, WHEAT GLUTEN, CORN SYRUP SOLIDS, SODIUM CASEINATE, MONO AND DIGLYCERIDES, DIPOTASSIUM PHOSPHATE, LACTIC ACID, TOCOPHEROLS (TO PRESERVE FRESHNESS).)",,,1.9,1.1,3.5,3.6,2.8
Iced Cinnamon Roll,Yeast Bread,Freshly baked cinnamon roll with cream cheese icing,"Cinnamon Roll, Cream Cheese Icing",,,4.0,0.6,2.8,2.5,2.0
Southern Biscuit,Biscuit,"Freshly baked warm, flaky biscuit","Biscuit (ENRICHED FLOUR BLEACHED (WHEAT FLOUR, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SOYBEAN OIL, HYDROGENATED SOYBEAN OIL, BUTTERMILK, SUGAR, SODIUM ALUMINUM PHOSPHATE, SALT, BAKING SODA, DATEM, CALCIUM ACID PYROPHOSPHATE, POTASSIUM BICARBONATE, WHEAT PROTEIN ISOLATE, PECTIN, CREAM, NATURAL FLAVOR.)",,,2.6,1.6,1.3,4.8,0.3
Old Fashioned Oatmeal,Cereal,Homestyle oatmeal cereal,"Water, Oatmeal",,,2.8,1.8,2.6,3.2,3.5
