name,category,description,ingredients,diet_tags,allergens,sweet,sour,bitter,spicy,dry
Hard-Cooked Egg,Omelet/Quiche/Frittata/Strata,"Perfectly hard-cooked egg, featuring a firm yet tender white and a rich, creamy yolk","Water, Egg",,,,,,,
Scrambled Just® Egg,Omelet/Quiche/Frittata/Strata,Scrambled Just® egg seasoned with salt & pepper,"Plant Based Egg (Water, Mung Bean Protein, Expeller-Pressed Canola Oil, Contains less than 2% of Dehydrated Onion, Gellan Gum, Carrot Extractives (color), Turmeric Extractives (color), Potassium Citrate, Salt, Sugar, Tapioca Syrup Solids, Tetrasodium Pyrophosphate, Transglutaminase, Nisin (preservative).), Canola Oil, Kosher Salt, Black Pepper",,,,,,,
Scrambled Eggs,Omelet/Quiche/Frittata/Strata,Eggs gently scrambled to fluffy perfection,"Egg Blend (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).)",,,,,,,
"Egg, Sausage & Cheese Bagel",Breakfast,"Scrambled egg, breakfast sausage and American cheese on a plain bagel","Bagel, Egg Blend, Sausage Patty, American Cheese, Vegetable Oil Blend, Kosher Salt, Black Pepper",,,,,,,
Turkey Sausage Patty,Breakfast Meat,Sizzling hot golden brown turkey sausage patty,"Turkey Sausage (Turkey, Water, Contains 2% or Less of Salt, Spices, Sugar, BHA, BHT, Citric Acid.)",,,,,,,
Pork Sausage Patty,Breakfast Meat,Sizzling hot golden brown pork sausage patty,"Sausage Patty (Pork, Contains 2% or Less of: Water, Salt, Corn Syrup Solids, Flavorings, Sugar, Dextrose, BHT, Propyl Gallate, Citric Acid.)",,,,,,,
O'Brien Potatoes,Potato,Pan-fried seasoned diced potatoes and sautéed green and red peppers and onions,"Potatoes, Canola Oil, Green Bell Pepper, Onion, Red Bell Pepper, Kosher Salt, Black Pepper",,,,,,,
Hash Browns,Potato,Pan-fried seasoned shredded potatoes,"Hash Brown Potato (Potatoes.  Contains 2% or less of Dextrose, Sodium Acid Pyrophosphate Added To Maintain Color.), Canola Oil, Kosher Salt, Black Pepper",,,,,,,
Pancake,Pancakes/Waffles/French Toast,"Pancake using oat milk, rice flour and egg replacer","Oat Milk (Oat base (water, oats), low erucic acid rapeseed oil. Contains 2% or less of: dipotassium phosphate, calcium carbonate, tricalcium phosphate, sea salt, dicalcium phosphate, riboflavin, vitamin A acetate, vitamin D2, vitamin B12), Rice Flour (Sweet White Rice Flour, Whole Grain Brown Rice Flour, Potato Starch, Whole Grain Sweet White Sorghum Flour, Tapioca Flour, Xanthan Gum.), Egg Substitute (Potato Starch, Tapioca Flour, Baking Soda, Psyllium Husk Powder), Baking Powder, Granulated Sugar, Baking Soda, Pure Vanilla Extract, Kosher Salt",,,,,,,
French Toast,Pancakes/Waffles/French Toast,Golden brown and fluffy cinnamon-spiced thick-cut French toast,"Texas Toast (UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, HIGH FRUCTOSE CORN SYRUP, WHEAT GLUTEN, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: YEAST, SALT, DOUGH CONDITIONERS (CONTAINS ONE OR MORE OF THE FOLLOWING: SODIUM STEAROYL LACTYLATE, CALCIUM STEAROYL LACTYLATE, MONOGLYCERIDES, MONO- AND DIGLYCERIDES, DISTILLED MONOGLYCERIDES, CALCIUM PEROXIDE, CALCIUM IODATE, DATEM, ETHOXYLATED MONO- AND DIGLYCERIDES, ENZYMES, ASCORBIC ACID), SOYBEAN OIL, YELLOW CORN FLOUR, MONOCALCIUM PHOSPHATE, COLORED WITH ANNATTO AND TURMERIC, WHEAT STARCH, CALCIUM SULFATE, SOY LECITHIN, CALCIUM PROPIONATE (TO RETARD SPOILAGE).), Egg Blend (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).), Reduced Fat Milk, Granulated Sugar, Pure Vanilla Extract, Cinnamon, Nutmeg",,,,,,,
