name,category,description,ingredients,diet_tags,allergens,sweet,sour,bitter,spicy,dry
BBQ Spiced Shredded Chicken,Roast/Braise,,,,,1.3,0.4,0.0,1.2,2.2
Crispy Chicken Nuggets,Deep Fried,"Tender chicken coated in a perfectly seasoned, golden-brown breading and fried to perfection","Chicken Nuggets (Chicken, water, whole wheat flour, textured soy flour, enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), isolated soy protein with less than 2% lecithin, contains 2% or less of the following: chicken type flavor [brown sugar, yeast extract, onion powder, maltodextrin, canola oil, carrot powder, garlic powder, silicon dioxide (anti-caking agent), citric acid, spice, salt, vegetable stock (carrot, onion, celery), natural flavor], dextrose, dried garlic, dried onion, dried yeast, paprika extract (color), salt, spice, sugar, textured soy protein concentrate, torula yeast, turmeric extract (color), wheat gluten. Breading set in vegetable oil.)",,,0.5,0.1,0.0,0.5,2.5
Chicken Souvlaki,Grilled,"Grilled chicken skewer marinated in garlic, lemon, red wine vinegar and oregano","Chicken Thigh, Lemon Juice, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Garlic, Kosher Salt, Dried Oregano, Black Pepper",,,0.2,2.5,0.2,0.2,2.1
"CHICKEN THIGH, GRILLED, FAJITA",Grilled,Grilled chicken thigh marinated in citrus & fajita spices,"Chicken Thigh, Onion, Canola Oil, Lime Juice, Cilantro, Garlic, Ancho Pepper Concentrate (WATER, TOMATO PASTE, DRIED CHIPOTLE PEPPERS, DISTILLED VINEGAR, CORN OIL, CONTAINS 2% OR LESS OF IODIZED SALT (CONTAINS POTASSIUM IODATE), CORN STARCH, ONION POWDER, GARLIC POWDER, SPICES.), Black Pepper, Kosher Salt",,,0.3,1.5,0.2,2.3,2.2
Italian Spinach & White Beans,Stew,"Fresh spinach, white beans and sun-dried tomato mixture over orzo with fresh basil","Water, Marinara Sauce (Tomato Concentrate (water, tomato paste), Onion, Sugar, Garlic, Salt, Carrot Puree, Spices, Citric Acid, Natural Flavorings.), Pasta (SEMOLINA (WHEAT), DURUM WHEAT FLOUR, NIACIN (VITAMIN B3), FERROUS SULPHATE OR FERROUS LACTATE (IRON), THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID.), Great Northern Beans, Water, Celery, Onion, Spinach, Sun Dried Tomato, Banana Peppers (BANANA PEPPERS, WATER, SALT, ACETIC ACID, CITRIC ACID, CALCIUM CHLORIDE, PRESERVATIVES (SODIUM BENZOATE, SODIUM BISULFITE), CAPSICUM OLEORESIN, YELLOW 5. CONTAINS SULFITES.), Garlic, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Basil, Vegetable Base (SAUTEED VEGETABLE PUREE MIX (CARROTS, ONIONS, CELERY), CORN STARCH, MALTODEXTRIN, VEGETABLE OIL (CORN AND/OR CANOLA OIL), HYDROLYZED CORN PROTEIN, YEAST EXTRACT, TOMATO POWDER, WATER, ONION POWDER, 2% OR LESS OF DISODIUM INOSINATE AND DISODIUM GUANYLATE, SALT, GARLIC POWDER, PAPRIKA (COLOR), NATURAL FLAVORS, LACTIC ACID, NATURAL FLAVOR, MODIFIED CORNSTARCH, CITRIC ACID.), Kosher Salt, Black Pepper",,,0.7,0.8,0.8,0.1,0.9
Vegan Bar Sesame Soy Tofu,Create Your Own,Extra firm tofu marinated in a sesame soy marinade,"Tofu, Cornstarch, Sesame Oil, Soy Sauce, Ginger Root, Brown Sugar, Garlic, Orange Juice, Crushed Red Pepper",,,1.4,0.4,0.1,0.8,0.7
OH Classic Cheese Pizza,"Traditional 16""",House-made pizza dough topped with tomato and fresh basil sauce and a generous layer of melted mozzarella,"All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,0.9,1.0,0.1,0.0,1.4
OH Pepperoni Pizza,"Traditional 16""","House-made pizza dough topped with crispy pepperoni slices, tomato fresh basil sauce and mozzarella cheese","All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Deli Pepperoni (CHICKEN, BEEF, TURKEY, SALT, CONTAINS 2% OR LESS OF WATER, DEXTROSE, SPICES, SMOKE FLAVORING, FLAVORING, GARLIC POWDER, OLEORESIN OF PAPRIKA, ROSEMARY EXTRACT, SODIUM ASCORBATE, SPICE EXTRACIVE, CITRIC ACID, LACTIC ACID STARTER CULTURE BHA, BHT, SODIUM NITRITE.  BHA, BHT WITH CITRIC ACID ADDED TO HELP PROTECT FLAVOR. SMOKE FLAVORING ADDED), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,0.8,1.0,0.1,0.4,1.6
Hawaiian Pizza,"Traditional 16""","Tangy tomato sauce, slices of ham and juicy pineapple chunks, covered in melted mozzarella cheese","All Purpose Flour, Mozzarella Cheese, Pineapple in Juice, Water, Pizza Sauce, Ham, Vegetable Oil Blend, Kosher Salt, Granulated Sugar, Yeast",,,2.6,1.1,0.1,0.0,1.4
Char-Grilled Turkey Burger,Burger,"White-meat turkey burger served hot-off-the-grill on a fresh, soft bun","Turkey Burger, Roll",,,0.2,0.1,0.0,0.0,2.0
