name,category,description,ingredients,diet_tags,allergens,sweet,salty,savory,spicy,sour,rich
Crispy Chicken Nuggets,Deep Fried,"Tender chicken coated in a perfectly seasoned, golden-brown breading and fried to perfection","Chicken Nuggets (Chicken, water, whole wheat flour, textured soy flour, enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), isolated soy protein with less than 2% lecithin, contains 2% or less of the following: chicken type flavor [brown sugar, yeast extract, onion powder, maltodextrin, canola oil, carrot powder, garlic powder, silicon dioxide (anti-caking agent), citric acid, spice, salt, vegetable stock (carrot, onion, celery), natural flavor], dextrose, dried garlic, dried onion, dried yeast, paprika extract (color), salt, spice, sugar, textured soy protein concentrate, torula yeast, turmeric extract (color), wheat gluten. Breading set in vegetable oil.)",,,,,,,,
Grilled Italian Vinaigrette Chicken Thigh,Grilled,Grilled chicken thigh marinated in fresh Italian Vinaigrette,"Chicken Thigh, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Red Wine Vinegar, Basil, Honey, Garlic, Parsley, Kosher Salt, Crushed Red Pepper",,,,,,,,
Southwestern Grilled Turkey,Grilled,Turkey breast rubbed with a special Southwest spice blend,"Turkey, Granulated Sugar, Garlic Powder, Kosher Salt, Onion Powder, Cumin, Paprika, Chili Powder, Black Pepper, Cayenne Pepper",,,,,,,,
Roasted Eggplant Mezze,Bowl,Fragrant oven-baked eggplant and spicy carrot-mint slaw top hummus swirled with toasted cumin and drizzled with nutty roasted red pepper Romesco,"Garbanzo Beans, Eggplant, Flat Bread, Carrots, Lemon Juice, Tahini, Vegetable Oil Blend, Green Onion, Vegetable Oil Blend, Roasted Red Peppers, Vegetable Oil Blend, Orange Juice, Vegetable Oil Blend, Honey, Lemon Juice, Tomato Paste, Balsamic Vinegar, Almonds, Garlic, Parsley, Panko Bread Crumbs, Turmeric, Kosher Salt, Cinnamon, Cumin, Garlic, Sriracha Chili Sauce, Ginger Root, Mint, Garlic, Kosher Salt, Kosher Salt, Paprika, Paprika, Black Pepper, Kosher Salt, Cumin, Sriracha Chili Sauce, Crushed Red Pepper, Cinnamon",,,,,,,,
Golden Curry Spiced Pumpkin Sauté,Stir-Fry,"Butternut squash, cauliflower, mushrooms, peas and chickpeas in curried pumpkin sauce over rice","Water, Whole Grain Brown Rice, Garbanzo Beans, Cauliflower, Green peas, Onion, Butternut Squash, Canned Pumpkin, Mushrooms, Water, Lime Juice, Lemon Juice, Garlic, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Vegetable Base (SAUTEED VEGETABLE PUREE MIX (CARROTS, ONIONS, CELERY), CORN STARCH, MALTODEXTRIN, VEGETABLE OIL (CORN AND/OR CANOLA OIL), HYDROLYZED CORN PROTEIN, YEAST EXTRACT, TOMATO POWDER, WATER, ONION POWDER, 2% OR LESS OF DISODIUM INOSINATE AND DISODIUM GUANYLATE, SALT, GARLIC POWDER, PAPRIKA (COLOR), NATURAL FLAVORS, LACTIC ACID, NATURAL FLAVOR, MODIFIED CORNSTARCH, CITRIC ACID.), Vegetable Base (SAUTEED VEGETABLE PUREE MIX (CARROTS, ONIONS, CELERY), CORN STARCH, MALTODEXTRIN, VEGETABLE OIL (CORN AND/OR CANOLA OIL), HYDROLYZED CORN PROTEIN, YEAST EXTRACT, TOMATO POWDER, WATER, ONION POWDER, 2% OR LESS OF DISODIUM INOSINATE AND DISODIUM GUANYLATE, SALT, GARLIC POWDER, PAPRIKA (COLOR), NATURAL FLAVORS, LACTIC ACID, NATURAL FLAVOR, MODIFIED CORNSTARCH, CITRIC ACID.), Curry Powder  (CORIANDER, FENUGREEK, TURMERIC, CUMIN, BLACK PEPPER, BAY LEAVES, CELERYSEED, NUTMEG, CLOVES, ONION, RED PEPPER & GINGER), Cilantro, Ginger Root, Kosher Salt, Turmeric, Cilantro, Black Pepper, Chili Powder (CHILI PEPPER, SPICES, SALT, SILICON DIOXIDE (TO MAKE FREE FLOWING) AND GARLIC), Black Pepper",,,,,,,,
Shrimp Etouffee,Saute,"Cajun-style shrimp and vegetable stew spiced with black and red peppers, Old Bay® and thyme","Shrimp, Water, Tomatoes, Tomato Puree, Green Bell Pepper, Celery, Onion, Unsalted Butter, Wheat Flour, Margarine, Vegetable Base, Tabasco Hot Sauce, Garlic, Old Bay Seasoning, Kosher Salt, Black Pepper, Dried Thyme Leaf",,,,,,,,
Vegan Bar Sesame Soy Tofu,Create Your Own,Extra firm tofu marinated in a sesame soy marinade,"Tofu, Cornstarch, Sesame Oil, Soy Sauce, Ginger Root, Brown Sugar, Garlic, Orange Juice, Crushed Red Pepper",,,,,,,,
OH Classic Cheese Pizza,"Traditional 16""",House-made pizza dough topped with tomato and fresh basil sauce and a generous layer of melted mozzarella,"All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,,,,,,
OH Pepperoni Pizza,"Traditional 16""","House-made pizza dough topped with crispy pepperoni slices, tomato fresh basil sauce and mozzarella cheese","All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Deli Pepperoni (CHICKEN, BEEF, TURKEY, SALT, CONTAINS 2% OR LESS OF WATER, DEXTROSE, SPICES, SMOKE FLAVORING, FLAVORING, GARLIC POWDER, OLEORESIN OF PAPRIKA, ROSEMARY EXTRACT, SODIUM ASCORBATE, SPICE EXTRACIVE, CITRIC ACID, LACTIC ACID STARTER CULTURE BHA, BHT, SODIUM NITRITE.  BHA, BHT WITH CITRIC ACID ADDED TO HELP PROTECT FLAVOR. SMOKE FLAVORING ADDED), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,,,,,,
Margherita Pizza,"Traditional 16""",Fresh plum tomatoes and shredded basil with mozzarella and Italian seasoning on a golden brown crust,"Dough, Mozzarella Cheese, Tomato , Basil, Italian Seasoning",,,,,,,,
Char-Grilled Turkey Burger,Burger,"White-meat turkey burger served hot-off-the-grill on a fresh, soft bun","Turkey Burger, Roll",,,,,,,,
Grilled Black Bean Burger,Burger,"Gardenburger® black bean burger served hot-off-the-grill on a fresh, soft bun","Black Bean Veggie Burger, Roll",,,,,,,,
