name,category,description,ingredients,diet_tags,allergens,sweet,salty,savory,spicy,sour,rich
Grilled Ancho-Lime Chicken,Grilled,"Chicken thighs marinated in a mix of zesty lime juice, then grilled to perfection","Chicken Thigh, Lime Juice, Canola Oil, Onion, Cilantro, Ancho Pepper Concentrate (WATER, TOMATO PASTE, DRIED CHIPOTLE PEPPERS, DISTILLED VINEGAR, CORN OIL, CONTAINS 2% OR LESS OF IODIZED SALT (CONTAINS POTASSIUM IODATE), CORN STARCH, ONION POWDER, GARLIC POWDER, SPICES.), Garlic, Black Pepper",,,0.8,3.7,3.9,2.7,2.9,4.8
Hard-Cooked Egg,Omelet/Quiche/Frittata/Strata,"Perfectly hard-cooked egg, featuring a firm yet tender white and a rich, creamy yolk","Water, Egg",,,1.3,2.5,3.4,1.4,0.3,5.0
Scrambled Eggs,Omelet/Quiche/Frittata/Strata,Freshly scrambled eggs seasoned with salt and pepper,"Egg Blend (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).), Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Kosher Salt, Black Pepper",,,1.3,4.1,2.9,4.0,0.9,4.8
Vegan Bar Sesame Soy Tofu,Create Your Own,Extra firm tofu marinated in a sesame soy marinade,"Tofu, Cornstarch, Sesame Oil, Soy Sauce, Ginger Root, Brown Sugar, Garlic, Orange Juice, Crushed Red Pepper",,,2.4,4.4,4.9,2.7,0.6,3.6
OH Classic Cheese Pizza,"Traditional 16""",House-made pizza dough topped with tomato and fresh basil sauce and a generous layer of melted mozzarella,"All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,3.0,3.3,4.0,0.4,1.5,5.0
OH Pepperoni Pizza,"Traditional 16""","House-made pizza dough topped with crispy pepperoni slices, tomato fresh basil sauce and mozzarella cheese","All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Deli Pepperoni (CHICKEN, BEEF, TURKEY, SALT, CONTAINS 2% OR LESS OF WATER, DEXTROSE, SPICES, SMOKE FLAVORING, FLAVORING, GARLIC POWDER, OLEORESIN OF PAPRIKA, ROSEMARY EXTRACT, SODIUM ASCORBATE, SPICE EXTRACIVE, CITRIC ACID, LACTIC ACID STARTER CULTURE BHA, BHT, SODIUM NITRITE.  BHA, BHT WITH CITRIC ACID ADDED TO HELP PROTECT FLAVOR. SMOKE FLAVORING ADDED), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,3.8,4.3,3.6,3.1,0.9,5.0
BBQ Chicken Pizza,"Traditional 16""",Grilled chicken & sautéed onions with mozzarella and Sweet Baby Ray's ® BBQ sauce,"All Purpose Flour, Mozzarella Cheese, Water, Chicken Breast, Onion, Barbecue Sauce, Pizza Sauce, Vegetable Oil Blend, Kosher Salt, Granulated Sugar, Vegetable Oil Blend, Vegetable Oil Blend, Yeast, Montreal Steak Seasoning, Kosher Salt, Black Pepper",,,3.6,4.3,3.9,4.1,0.3,5.0
Char-Grilled Turkey Burger,Burger,"White-meat turkey burger served hot-off-the-grill on a fresh, soft bun","Turkey Burger, Roll",,,0.3,1.2,3.6,0.3,1.1,1.5
Grilled Black Bean Burger,Burger,"Gardenburger® black bean burger served hot-off-the-grill on a fresh, soft bun","Black Bean Veggie Burger, Roll",,,0.1,1.1,3.7,1.2,1.2,2.0
Tuna Salad Sandwich,Traditional Sandwich,Tuna salad with lettuce & tomato on multigrain bread,"Multigrain Bread, Tuna Fish, Tomato, Mayonnaise, Celery, Lettuce, Lemon Juice, Black Pepper",,,1.3,3.0,3.7,2.5,2.6,1.6
