name,category,description,ingredients,diet_tags,allergens,sweet,salty,savory,spicy,sour,rich
Smoked  Maple Sausage,Bake,Smoked sliced maple sausage,Smoked Sausage,,,3.6,3.8,3.2,1.2,0.8,2.5
Hard-Cooked Egg,Omelet/Quiche/Frittata/Strata,"Perfectly hard-cooked egg, featuring a firm yet tender white and a rich, creamy yolk","Water, Egg",,,1.3,2.5,4.8,1.4,0.3,5.0
Scrambled Just® Egg,Omelet/Quiche/Frittata/Strata,Scrambled Just® egg seasoned with salt & pepper,"Plant Based Egg (Water, Mung Bean Protein, Expeller-Pressed Canola Oil, Contains less than 2% of Dehydrated Onion, Gellan Gum, Carrot Extractives (color), Turmeric Extractives (color), Potassium Citrate, Salt, Sugar, Tapioca Syrup Solids, Tetrasodium Pyrophosphate, Transglutaminase, Nisin (preservative).), Canola Oil, Kosher Salt, Black Pepper",,,1.9,2.6,3.9,2.8,1.5,1.8
Scrambled Eggs,Omelet/Quiche/Frittata/Strata,Eggs gently scrambled to fluffy perfection,"Egg Blend (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).)",,,1.3,4.1,4.4,1.0,0.9,3.0
Egg White Ham English Muffin,Breakfast,Egg whites and ham on an English muffin,"English Muffin (ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, YEAST, CORN MEAL, SUGAR, VEGETABLE OIL (CANOLA AND/OR SOY), SALT, WHEAT GLUTEN, CALCIUM PROPIONATE, DOUGH CONDITIONERS (MONOCALCIUM PHOSPHATE MONOHYDRATE, DATEM, ASCORBIC ACID, ENZYMES), CORN STARCH.), Egg Whites, Ham (Pork Cured With: Water, Dextrose, Salt, Contains 2% or Less of: Potassium Lactate, Sodium Phosphates, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite.)",,,2.7,5.0,4.0,1.1,0.1,1.5
Turkey Sausage Patty,Breakfast Meat,Sizzling hot golden brown turkey sausage patty,"Turkey Sausage (Turkey, Water, Contains 2% or Less of Salt, Spices, Sugar, BHA, BHT, Citric Acid.)",,,2.9,4.5,2.8,0.2,0.4,2.4
O'Brien Potatoes,Potato,Pan-fried seasoned diced potatoes and sautéed green and red peppers and onions,"Potatoes, Canola Oil, Green Bell Pepper, Onion, Red Bell Pepper, Kosher Salt, Black Pepper",,,0.8,4.1,4.4,2.4,1.3,5.0
Crispy Tater Tots,Potato,Deep-fried seasoned shredded potato bites,"Potato (Potatoes, Vegetable Oil (Contains One Or More of The Following Oils:  Canola, Soybean, Cottonseed, Sunflower, Corn).  Contains 2% or  less of Dextrose, Natural Flavor, Salt, Sodium Acid Pyrophosphate  Added To Maintain Color.)",,,0.6,3.4,2.4,0.7,1.1,3.8
Pancake,Pancakes/Waffles/French Toast,"Pancake using oat milk, rice flour and egg replacer","Oat Milk (Oat base (water, oats), low erucic acid rapeseed oil. Contains 2% or less of: dipotassium phosphate, calcium carbonate, tricalcium phosphate, sea salt, dicalcium phosphate, riboflavin, vitamin A acetate, vitamin D2, vitamin B12), Rice Flour (Sweet White Rice Flour, Whole Grain Brown Rice Flour, Potato Starch, Whole Grain Sweet White Sorghum Flour, Tapioca Flour, Xanthan Gum.), Egg Substitute (Potato Starch, Tapioca Flour, Baking Soda, Psyllium Husk Powder), Baking Powder, Granulated Sugar, Baking Soda, Pure Vanilla Extract, Kosher Salt",,,5.0,4.7,4.7,1.4,1.5,3.0
French Toast,Pancakes/Waffles/French Toast,Golden brown and fluffy cinnamon-spiced thick-cut French toast,"Texas Toast (UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, HIGH FRUCTOSE CORN SYRUP, WHEAT GLUTEN, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: YEAST, SALT, DOUGH CONDITIONERS (CONTAINS ONE OR MORE OF THE FOLLOWING: SODIUM STEAROYL LACTYLATE, CALCIUM STEAROYL LACTYLATE, MONOGLYCERIDES, MONO- AND DIGLYCERIDES, DISTILLED MONOGLYCERIDES, CALCIUM PEROXIDE, CALCIUM IODATE, DATEM, ETHOXYLATED MONO- AND DIGLYCERIDES, ENZYMES, ASCORBIC ACID), SOYBEAN OIL, YELLOW CORN FLOUR, MONOCALCIUM PHOSPHATE, COLORED WITH ANNATTO AND TURMERIC, WHEAT STARCH, CALCIUM SULFATE, SOY LECITHIN, CALCIUM PROPIONATE (TO RETARD SPOILAGE).), Egg Blend (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).), Reduced Fat Milk, Granulated Sugar, Pure Vanilla Extract, Cinnamon, Nutmeg",,,3.0,3.5,3.8,0.1,0.7,3.5
