name,category,description,ingredients,diet_tags,allergens,sweet,sour,bitter,spicy,dry
Spice-Rubbed Pork Loin,Roast/Braise,"Oven-roasted pork loin rubbed with a sweet-spicy blend of peppers, paprika, chili powder and garlic","Pork Loin, Granulated Sugar, Paprika, Chili Powder (CHILI PEPPER, SPICES, SALT, SILICON DIOXIDE (TO MAKE FREE FLOWING) AND GARLIC), Kosher Salt, Garlic Powder, Black Pepper, Cayenne Pepper",,,1.5,0.0,0.5,2.5,1.5
Chicken Souvlaki,Grilled,"Grilled chicken skewer marinated in garlic, lemon, red wine vinegar and oregano","Chicken Thigh, Lemon Juice, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Garlic, Kosher Salt, Dried Oregano, Black Pepper",,,0.5,3.0,0.5,0.0,1.0
Red Curry Lemongrass Chicken,Grilled,Grilled chicken thigh marinated in red curry and lemongrass,,,,0.5,0.5,0.5,2.5,1.5
Indian-Spiced Tofu Saute,Stir-Fry,Tofu seasoned with toasted Indian spices with sauteed vegetables over brown rice and lentils,"Water, Water, Tofu, Tomatoes, Water, Pinto Beans, Cauliflower, Kale, Whole Grain Brown Rice, Carrots, Onion, Lentil, Garlic, Vegetable Base, Vegetable Oil Blend, Vegetable Oil Blend, Kosher Salt, Cilantro, Black Pepper, Cumin, Turmeric, Cinnamon, Cumin",,,0.5,0.5,1.5,1.0,1.5
Vegan Bar Sesame Soy Tofu,Create Your Own,Extra firm tofu marinated in a sesame soy marinade,"Tofu, Cornstarch, Sesame Oil, Soy Sauce, Ginger Root, Brown Sugar, Garlic, Orange Juice, Crushed Red Pepper",,,2.5,0.5,0.5,0.5,0.0
OH Classic Cheese Pizza,"Traditional 16""",House-made pizza dough topped with tomato and fresh basil sauce and a generous layer of melted mozzarella,"All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,2.5,0.5,0.0,0.0,1.0
OH Pepperoni Pizza,"Traditional 16""","House-made pizza dough topped with crispy pepperoni slices, tomato fresh basil sauce and mozzarella cheese","All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Deli Pepperoni (CHICKEN, BEEF, TURKEY, SALT, CONTAINS 2% OR LESS OF WATER, DEXTROSE, SPICES, SMOKE FLAVORING, FLAVORING, GARLIC POWDER, OLEORESIN OF PAPRIKA, ROSEMARY EXTRACT, SODIUM ASCORBATE, SPICE EXTRACIVE, CITRIC ACID, LACTIC ACID STARTER CULTURE BHA, BHT, SODIUM NITRITE.  BHA, BHT WITH CITRIC ACID ADDED TO HELP PROTECT FLAVOR. SMOKE FLAVORING ADDED), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,2.5,0.5,0.0,1.0,1.0
Hawaiian Pizza,"Traditional 16""","Tangy tomato sauce, slices of ham and juicy pineapple chunks, covered in melted mozzarella cheese","All Purpose Flour, Mozzarella Cheese, Pineapple in Juice, Water, Pizza Sauce, Ham, Vegetable Oil Blend, Kosher Salt, Granulated Sugar, Yeast",,,4.0,0.5,0.0,0.0,1.0
Char-Grilled Turkey Burger,Burger,"White-meat turkey burger served hot-off-the-grill on a fresh, soft bun","Turkey Burger, Roll",,,0.5,0.0,0.0,0.0,2.0
Grilled Black Bean Burger,Burger,"Gardenburger® black bean burger served hot-off-the-grill on a fresh, soft bun","Black Bean Veggie Burger, Roll",,,0.5,0.0,0.0,0.0,2.0
Southern Pimento BCT,Traditional Sandwich,"Crispy bacon, with cucumber, tomato and pimento cheese","Wheatberry Bread, Tomato, Cucumber, Bacon, Red Bell Pepper, Mayonnaise, Cream Cheese, Cheddar Cheese, Kosher Salt, Tabasco Hot Sauce",,,0.5,0.5,0.5,0.5,1.5
Baja Turkey Wrap,Artisan,"Turkey, Guacamole, lettuce, tomato, onion and plant based chipotle mayo on a wrap","Water, Tortilla Variety Pack (Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Vegetable Shortening (Interesterified and Hydrogenated Soybean Oils), contains 2% or less of: Salt, Sodium Acid Pyrophosphate, Baking Soda, Distilled Monoglycerides, Enzymes, Vital Wheat Gluten, Cellulose Gum, Fumaric Acid, and Calcium Propionate and Sorbic Acid (to maintain freshness). TOMATO BASIL SEASONING (Tomato Powder, Spices, Salt, Sugar, Red Bell Pepper, Sun-Dried Tomato, Soybean Oil, Yeast, Onion Powder, Garlic Powder, Natural And Artificial Flavor, Extractives of Paprika); SPINACH HERB SEASONING (Spinach Powder, Onion Powder, Spice, Salt, Garlic Powder, Soybean Oil, Yellow 5 Lake, Blue 1 Lake, Natural And Artificial Flavor), Dextrose, Artificial Flavors, Propylen Glycol, Yellow 5, Blue 1; GARLIC HERB SEASONING (Sugar, Corn Maltodextrin, Salt, Modified Corn Starch, Spices, Dehydrated Garlic, Red Bell Pepper, Medium Chain Triglycerides, Dehydrated Tomato, Natural and Artificial Flavor, Onion powder).), Tomato, Vegan Mayonnaise (CANOLA OIL, WATER, SOYBEAN OIL, SUGAR, DISTILLED VINEGAR, SALT, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: MODIFIED FOOD STARCH (CORN, POTATO), LEMON JUICE CONCENTRATE, NATURAL FLAVOR, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), PAPRIKA OLEORESIN.), Deli Turkey Breast, Onion, Kosher Salt, Guacamole (Hass Avocados, Distilled Vinegar, Contains 2% Or Less Of: Water, Jalapeño Peppers, Salt, Dehydrated Onion, Granulated Garlic, Erythorbic Acid (To Maintain Color), Sugar, Citric Acid (To Acidify).), Cider Vinegar, Lettuce, Brown Sugar, Chipotle Peppers in Sauce (WATER, TOMATO PASTE, DRIED CHIPOTLE PEPPERS, DISTILLED VINEGAR, CORN OIL, CONTAINS 2% OR LESS OF IODIZED SALT (CONTAINS POTASSIUM IODATE), CORN STARCH, ONION POWDER, GARLIC POWDER, SPICES.), Mint, Thyme, Lime Juice, Kosher Salt, Rosemary, Cilantro",,,0.5,2.0,0.5,1.5,1.0
Boardwalk Tofu Wrap,Artisan,Italian seasoned tofu and spicy pepper relish on a spinach wrap,"Spinach Herb Tortilla, Tofu, Cherry Peppers, Banana Peppers, Roasted Red Peppers, Red Wine Vinegar, Pickle , Onion, Italian Seasoning, Garlic Powder, Kosher Salt",,,0.5,2.5,1.0,2.0,1.5
